intermediate                                          OOZ59_RS10325   -         -         -          -         103101  103323  +     
intermediate                                          OOZ59_RS10330   -         -         -          -         103391  103505  +     
intermediate                                          OOZ59_RS10335   -         -         -          -         103693  104074  +     
intermediate                                          OOZ59_RS10340   -         -         -          -         104141  104546  +     
intermediate                                          OOZ59_RS10345   -         -         -          -         104677  105700  +     
intermediate                                          OOZ59_RS10350   -         -         -          -         105894  106401  +     
intermediate                                          OOZ59_RS10355   -         -         -          -         106540  106760  +     


Streptomyces lividans TK24
==========================
NZ_CP009124.1
-------------
Cluster 8, score 9.6054:
Query                                                       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
intermediate                                                SLIV_RS14750    -         -         -          -         0        102      -     
intermediate                                                SLIV_RS14755    -         -         -          -         296      1319     -     
intermediate                                                SLIV_RS14760    -         -         -          -         1450     1855     -     
intermediate                                                SLIV_RS14765    -         -         -          -         1922     2303     -     
intermediate                                                SLIV_RS14770    -         -         -          -         2491     2605     -     
intermediate                                                SLIV_RS14775    -         -         -          -         2673     2895     -     
intermediate                                                SLIV_RS14780    -         -         -          -         3036     3873     -     
intermediate                                                SLIV_RS14785    -         -         -          -         4024     4678     -     
intermediate                                                SLIV_RS14790    -         -         -          -         4677     5991     -     
intermediate                                                SLIV_RS14795    -         -         -          -         6247     6703     -     
intermediate                                                SLIV_RS14800    -         -         -          -         6705     6888     -     
intermediate                                                SLIV_RS14805    -         -         -          -         6890     7496     -     
intermediate                                                SLIV_RS14810    -         -         -          -         7539     7923     -     
intermediate                                                SLIV_RS14815    -         -         -          -         7926     8466     -     
intermediate                                                SLIV_RS14820    -         -         -          -         8490     8889     -     
intermediate                                                SLIV_RS14825    -         -         -          -         9100     9286     -     
intermediate                                                SLIV_RS14830    -         -         -          -         9291     9849     -     
intermediate                                                SLIV_RS14835    -         -         -          -         9848     10172    -     
intermediate                                                SLIV_RS14840    -         -         -          -         10174    10543    -     
intermediate                                                SLIV_RS14845    -         -         -          -         10650    10938    -     
intermediate                                                SLIV_RS14850    -         -         -          -         10937    11162    -     
intermediate                                                SLIV_RS14855    -         -         -          -         11161    11581    -     
intermediate                                                SLIV_RS14860    -         -         -          -         11586    12420    -     
intermediate                                                SLIV_RS14865    -         -         -          -         12419    12767    -     
intermediate                                                SLIV_RS14870    -         -         -          -         12809    13091    -     
intermediate                                                SLIV_RS14875    -         -         -          -         13103    13940    -     
intermediate                                                SLIV_RS14880    -         -         -          -         13980    14400    -     
intermediate                                                SLIV_RS14885    -         -         -          -         14399    15059    -     
intermediate                                                SLIV_RS14890    -         -         -          -         15067    15712    -     
intermediate                                                SLIV_RS14895    -         -         -          -         15728    16037    -     
intermediate                                                SLIV_RS14900    -         -         -          -         16537    16987    -     
intermediate                                                SLIV_RS39990    -         -         -          -         17007    21471    -     
intermediate                                                SLIV_RS14910    -         -         -          -         21598    22066    -     
intermediate                                                SLIV_RS14915    -         -         -          -         22096    22954    -     
intermediate                                                SLIV_RS14920    -         -         -          -         23053    23701    -     
intermediate                                                SLIV_RS14925    -         -         -          -         23792    24644    -     
intermediate                                                SLIV_RS14930    -         -         -          -         24753    25086    -     
intermediate                                                SLIV_RS14935    -         -         -          -         25586    25943    +     
intermediate                                                SLIV_RS14940    -         -         -          -         25993    26353    +     
intermediate                                                SLIV_RS14945    -         -         -          -         26388    26700    -     
intermediate                                                SLIV_RS14950    -         -         -          -         26745    28140    -     
intermediate                                                SLIV_RS14955    -         -         -          -         28348    28552    -     
intermediate                                                SLIV_RS14960    -         -         -          -         28900    30259    -     
intermediate                                                SLIV_RS14965    -         -         -          -         30433    30643    -     
intermediate                                                SLIV_RS14970    -         -         -          -         30644    31403    -     
intermediate                                                SLIV_RS14975    -         -         -          -         31498    32389    +     
intermediate                                                SLIV_RS14980    -         -         -          -         32339    32531    -     
intermediate                                                SLIV_RS14985    -         -         -          -         32527    33376    -     
intermediate                                                SLIV_RS14990    -         -         -          -         33488    33923    +     
intermediate                                                SLIV_RS14995    -         -         -          -         34171    35044    +     
intermediate                                                SLIV_RS15000    -         -         -          -         35061    35970    +     
intermediate                                                SLIV_RS15005    -         -         -          -         35982    36375    -     
intermediate                                                SLIV_RS15010    -         -         -          -         36449    37451    +     
intermediate                                                SLIV_RS15015    -         -         -          -         37455    39225    +     
intermediate                                                SLIV_RS15020    -         -         -          -         39310    40258    +     
intermediate                                                SLIV_RS15025    -         -         -          -         40379    41756    +     
intermediate                                                SLIV_RS15030    -         -         -          -         41840    42980    -     
intermediate                                                SLIV_RS15035    -         -         -          -         43147    43780    -     
intermediate                                                SLIV_RS15040    -         -         -          -         43779    45075    -     
intermediate                                                SLIV_RS15045    -         -         -          -         45271    46228    +     
intermediate                                                SLIV_RS15050    -         -         -          -         46311    47052    +     
intermediate                                                SLIV_RS15055    -         -         -          -         47045    49526    +     
intermediate                                                SLIV_RS15060    -         -         -          -         49658    50012    +     
intermediate                                                SLIV_RS15065    -         -         -          -         50001    51195    -     
intermediate                                                SLIV_RS15070    -         -         -          -         51368    53495    -     
intermediate                                                SLIV_RS15075    -         -         -          -         53534    54005    -     
intermediate                                                SLIV_RS15080    -         -         -          -         54007    54379    -     
intermediate                                                SLIV_RS15085    -         -         -          -         54634    55660    -     
intermediate                                                SLIV_RS15090    -         -         -          -         55760    57056    +     
intermediate                                                SLIV_RS15095    -         -         -          -         57072    57642    -     
intermediate                                                SLIV_RS15100    -         -         -          -         57769    61669    -     
intermediate                                                SLIV_RS15105    -         -         -          -         61766    65252    -     
intermediate                                                SLIV_RS15110    -         -         -          -         65841    66225    -     
intermediate                                                SLIV_RS15115    -         -         -          -         66342    66873    -     
intermediate                                                SLIV_RS15120    -         -         -          -         67191    68040    -     
intermediate                                                SLIV_RS15125    -         -         -          -         68188    69046    -     
intermediate                                                SLIV_RS15130    -         -         -          -         69218    69944    -     
intermediate                                                SLIV_RS15135    -         -         -          -         70027    70462    -     
intermediate                                                SLIV_RS15140    -         -         -          -         70649    71552    -     
intermediate                                                SLIV_RS15145    -         -         -          -         71632    71917    -     
intermediate                                                SLIV_RS15150    -         -         -          -         72025    72098    -     
intermediate                                                SLIV_RS15155    -         -         -          -         72337    73564    +     
intermediate                                                SLIV_RS15160    -         -         -          -         73689    74721    +     
intermediate                                                SLIV_RS15165    -         -         -          -         75143    76199    -     
intermediate                                                SLIV_RS15170    -         -         -          -         76291    76672    -     
intermediate                                                SLIV_RS15175    -         -         -          -         76709    78101    -     
intermediate                                                SLIV_RS15180    -         -         -          -         78311    78905    -     
intermediate                                                SLIV_RS15185    -         -         -          -         78970    79576    -     
intermediate                                                SLIV_RS15190    -         -         -          -         79640    80465    +     
intermediate                                                SLIV_RS15195    -         -         -          -         80564    80993    -     
intermediate                                                SLIV_RS15200    -         -         -          -         80998    81451    -     
intermediate                                                SLIV_RS15205    -         -         -          -         81546    81711    -     
intermediate                                                SLIV_RS15210    -         -         -          -         81802    81875    -     
intermediate                                                SLIV_RS15215    -         -         -          -         81921    81994    -     
intermediate                                                SLIV_RS15220    -         -         -          -         82219    83524    +     
intermediate                                                SLIV_RS15225    -         -         -          -         83628    84285    +     
intermediate                                                SLIV_RS40755    -         -         -          -         84291    84513    -     
intermediate                                                SLIV_RS15230    -         -         -          -         84581    87482    -     
intermediate                                                SLIV_RS15235    -         -         -          -         87643    87725    -     
intermediate                                                SLIV_RS15240    -         -         -          -         87960    88449    +     
intermediate                                                SLIV_RS15245    -         -         -          -         88556    88823    -     
intermediate                                                SLIV_RS15250    -         -         -          -         88962    90207    +     
intermediate                                                SLIV_RS15255    -         -         -          -         90285    90879    -     
intermediate                                                SLIV_RS15260    -         -         -          -         90976    91393    -     
intermediate                                                SLIV_RS15265    -         -         -          -         91389    92253    -     
intermediate                                                SLIV_RS15270    -         -         -          -         92479    94027    -     
intermediate                                                SLIV_RS15275    -         -         -          -         94023    95628    -     
intermediate                                                SLIV_RS15280    -         -         -          -         95634    97629    -     
intermediate                                                SLIV_RS15285    -         -         -          -         97625    98018    -     
intermediate                                                SLIV_RS15290    -         -         -          -         98017    98611    -     
intermediate                                                SLIV_RS15295    -         -         -          -         98607    99201    -     
intermediate                                                SLIV_RS15300    -         -         -          -         99200    100169   -     
intermediate                                                SLIV_RS15305    -         -         -          -         100165   101536   -     
intermediate                                                SLIV_RS15310    -         -         -          -         101532   102252   -     
intermediate                                                SLIV_RS15315    -         -         -          -         102221   102662   -     
intermediate                                                SLIV_RS15320    -         -         -          -         102857   104084   +     
intermediate                                                SLIV_RS15325    -         -         -          -         104197   105565   +     
intermediate                                                SLIV_RS15330    -         -         -          -         105885   106557   +     
intermediate                                                SLIV_RS15335    -         -         -          -         106896   108834   +     
intermediate                                                SLIV_RS15340    -         -         -          -         108826   109885   +     
intermediate                                                SLIV_RS15345    -         -         -          -         110050   110905   +     
intermediate                                                SLIV_RS15350    -         -         -          -         111068   112169   +     
intermediate                                                SLIV_RS15355    -         -         -          -         112192   112765   -     
intermediate                                                SLIV_RS15360    -         -         -          -         112894   113365   +     
intermediate                                                SLIV_RS15365    -         -         -          -         113575   114550   +     
intermediate                                                SLIV_RS15370    -         -         -          -         114586   115969   -     
intermediate                                                SLIV_RS15375    -         -         -          -         116218   116821   +     
intermediate                                                SLIV_RS15380    -         -         -          -         116848   117793   -     
intermediate                                                SLIV_RS15385    -         -         -          -         117779   118763   -     
intermediate                                                SLIV_RS15390    -         -         -          -         118815   120078   -     
intermediate                                                SLIV_RS15395    -         -         -          -         120337   121348   -     
streptomyces_coelicolor_EG_Tu                               WP_011029795.1  100       100       0          805       3397074  3398268  -     
streptomyces_coelicolor_EF_G                                WP_003974302.1  100       100       0          1448      3398441  3400568  -     
streptomyces_coelicolor_30s_ribosomal_protein_S7            WP_003974303.1  100       100       1.23e-112  314       3400607  3401078  -     
streptomyces_coelicolor_RpoC                                WP_003974308.1  100       100       0          2659      3404842  3408742  -     
streptomyces_coelicolor_50s_ribosomal_protein_L7/L12        WP_003974310.1  100       100       6.14e-83   237       3412914  3413298  -     
streptomyces_coelicolor_transcription_antitermination_NUSG  WP_011029791.1  100       100       0          591       3417722  3418625  -     

NZ_GG657756.1
-------------
Cluster 9, score 7.5249:
Query                                                       Subject         Identity  Coverage  E-value    Bitscore  Start    End      Strand
intermediate                                                SSPG_RS14730    -         -         -          -         61       466      -     
intermediate                                                SSPG_RS14735    -         -         -          -         533      914      -     
intermediate                                                SSPG_RS14740    -         -         -          -         1102     1216     -     
intermediate                                                SSPG_RS14745    -         -         -          -         1284     1506     -     
intermediate                                                SSPG_RS14750    -         -         -          -         1647     2484     -     
intermediate                                                SSPG_RS14755    -         -         -          -         2635     3289     -     
intermediate                                                SSPG_RS14760    -         -         -          -         3288     4602     -     
intermediate                                                SSPG_RS14765    -         -         -          -         4858     5314     -     
intermediate                                                SSPG_RS14770    -         -         -          -         5316     5499     -     
intermediate                                                SSPG_RS14775    -         -         -          -         5501     6107     -     
intermediate                                                SSPG_RS14780    -         -         -          -         6150     6534     -     
intermediate                                                SSPG_RS14785    -         -         -          -         6537     7077     -     
intermediate                                                SSPG_RS14790    -         -         -          -         7101     7500     -     
intermediate                                                SSPG_RS14795    -         -         -          -         7711     7897     -     
intermediate                                                SSPG_RS14800    -         -         -          -         7902     8460     -     
intermediate                                                SSPG_RS14805    -         -         -          -         8459     8783     -     
intermediate                                                SSPG_RS14810    -         -         -          -         8785     9154     -     
intermediate                                                SSPG_RS14815    -         -         -          -         9261     9549     -     
intermediate                                                SSPG_RS14820    -         -         -          -         9548     9773     -     
intermediate                                                SSPG_RS14825    -         -         -          -         9772     10192    -     
intermediate                                                SSPG_RS14830    -         -         -          -         10197    11031    -     
intermediate                                                SSPG_RS14835    -         -         -          -         11030    11378    -     
intermediate                                                SSPG_RS14840    -         -         -          -         11420    11702    -     
intermediate                                                SSPG_RS14845    -         -         -          -         11714    12551    -     
intermediate                                                SSPG_RS14850    -         -         -          -         12591    13011    -     
intermediate                                                SSPG_RS14855    -         -         -          -         13010    13670    -     
intermediate                                                SSPG_RS14860    -         -         -          -         13678    14323    -     
intermediate                                                SSPG_RS14865    -         -         -          -         14339    14648    -     
intermediate                                                SSPG_RS14870    -         -         -          -         15148    15598    -     
intermediate                                                SSPG_RS40655    -         -         -          -         15618    20082    -     
intermediate                                                SSPG_RS14880    -         -         -          -         20209    20677    -     
intermediate                                                SSPG_RS14885    -         -         -          -         20707    21565    -     
intermediate                                                SSPG_RS14890    -         -         -          -         21664    22312    -     
intermediate                                                SSPG_RS14895    -         -         -          -         22403    23255    -     
intermediate                                                SSPG_RS14900    -         -         -          -         23364    23697    -     
intermediate                                                SSPG_RS14905    -         -         -          -         24197    24554    +     
intermediate                                                SSPG_RS14910    -         -         -          -         24604    24964    +     
intermediate                                                SSPG_RS14915    -         -         -          -         24999    25311    -     
intermediate                                                SSPG_RS14920    -         -         -          -         25356    26751    -     
intermediate                                                SSPG_RS14925    -         -         -          -         26959    27163    -     
intermediate                                                SSPG_RS14930    -         -         -          -         27511    28870    -     
intermediate                                                SSPG_RS14935    -         -         -          -         29044    29254    -     
intermediate                                                SSPG_RS14940    -         -         -          -         29255    30014    -     
intermediate                                                SSPG_RS14945    -         -         -          -         30109    31000    +     
intermediate                                                SSPG_RS14950    -         -         -          -         30950    31142    -     
intermediate                                                SSPG_RS14955    -         -         -          -         31138    31987    -     
intermediate                                                SSPG_RS14960    -         -         -          -         32099    32534    +     
intermediate                                                SSPG_RS14965    -         -         -          -         32782    33655    +     
intermediate                                                SSPG_RS14970    -         -         -          -         33672    34581    +     
intermediate                                                SSPG_RS14975    -         -         -          -         34593    34986    -     
intermediate                                                SSPG_RS14980    -         -         -          -         35060    36062    +     
intermediate                                                SSPG_RS14985    -         -         -          -         36066    37836    +     
intermediate                                                SSPG_RS14990    -         -         -          -         37921    38869    +     
intermediate                                                SSPG_RS14995    -         -         -          -         39296    40385    +     
intermediate                                                SSPG_RS15000    -         -         -          -         40469    41609    -     
intermediate                                                SSPG_RS15005    -         -         -          -         41776    42409    -     
intermediate                                                SSPG_RS15010    -         -         -          -         42408    43704    -     
intermediate                                                SSPG_RS15015    -         -         -          -         43900    44857    +     
intermediate                                                SSPG_RS15020    -         -         -          -         44940    45681    +     
intermediate                                                SSPG_RS15025    -         -         -          -         45674    46584    +     
intermediate                                                SSPG_RS15030    -         -         -          -         46809    48158    +     
intermediate                                                SSPG_RS15035    -         -         -          -         48290    48644    +     
intermediate                                                SSPG_RS15040    -         -         -          -         48633    49828    -     
intermediate                                                SSPG_RS15045    -         -         -          -         50001    52128    -     
intermediate                                                SSPG_RS15050    -         -         -          -         52167    52638    -     
intermediate                                                SSPG_RS15055    -         -         -          -         52640    53012    -     
intermediate                                                SSPG_RS15060    -         -         -          -         53267    54293    -     
intermediate                                                SSPG_RS15065    -         -         -          -         54393    55689    +     
intermediate                                                SSPG_RS15070    -         -         -          -         55705    56275    -     
intermediate                                                SSPG_RS15075    -         -         -          -         56402    60302    -     
intermediate                                                SSPG_RS15080    -         -         -          -         60399    63885    -     
intermediate                                                SSPG_RS15085    -         -         -          -         64474    64858    -     
intermediate                                                SSPG_RS15090    -         -         -          -         64975    65506    -     
intermediate                                                SSPG_RS15095    -         -         -          -         65824    66673    -     
intermediate                                                SSPG_RS15100    -         -         -          -         66821    67679    -     
intermediate                                                SSPG_RS15105    -         -         -          -         67851    68577    -     
intermediate                                                SSPG_RS15110    -         -         -          -         68660    69095    -     
intermediate                                                SSPG_RS15115    -         -         -          -         69282    70185    -     
intermediate                                                SSPG_RS15120    -         -         -          -         70265    70550    -     
intermediate                                                SSPG_RS15125    -         -         -          -         70658    70731    -     
intermediate                                                SSPG_RS15130    -         -         -          -         70970    72197    +     
intermediate                                                SSPG_RS15135    -         -         -          -         72322    73354    +     
intermediate                                                SSPG_RS15140    -         -         -          -         73776    74832    -     
intermediate                                                SSPG_RS15145    -         -         -          -         74924    75305    -     
intermediate                                                SSPG_RS15150    -         -         -          -         75342    76734    -     
intermediate                                                SSPG_RS15155    -         -         -          -         76944    77538    -     
intermediate                                                SSPG_RS15160    -         -         -          -         77603    78209    -     
intermediate                                                SSPG_RS15165    -         -         -          -         78273    79098    +     
intermediate                                                SSPG_RS15170    -         -         -          -         79197    79626    -     
intermediate                                                SSPG_RS15175    -         -         -          -         79631    80084    -     
intermediate                                                SSPG_RS15180    -         -         -          -         80179    80344    -     
intermediate                                                SSPG_RS15185    -         -         -          -         80435    80508    -     
intermediate                                                SSPG_RS15190    -         -         -          -         80554    80627    -     
intermediate                                                SSPG_RS15195    -         -         -          -         80852    81283    +     
intermediate                                                SSPG_RS38715    -         -         -          -         81692    82155    +     
intermediate                                                SSPG_RS15205    -         -         -          -         82259    82916    +     
intermediate                                                SSPG_RS41540    -         -         -          -         82922    83144    -     
intermediate                                                SSPG_RS15210    -         -         -          -         83212    86113    -     
intermediate                                                SSPG_RS40660    -         -         -          -         86274    86357    -     
intermediate                                                SSPG_RS15215    -         -         -          -         86592    87081    +     
intermediate                                                SSPG_RS15220    -         -         -          -         87188    87455    -     
intermediate                                                SSPG_RS15225    -         -         -          -         87594    88839    +     
intermediate                                                SSPG_RS15230    -         -         -          -         88917    89511    -     
intermediate                                                SSPG_RS15235    -         -         -          -         89608    90025    -     
intermediate                                                SSPG_RS15240    -         -         -          -         90021    90885    -     
intermediate                                                SSPG_RS15245    -         -         -          -         91111    92659    -     
intermediate                                                SSPG_RS15250    -         -         -          -         92655    94260    -     
intermediate                                                SSPG_RS15255    -         -         -          -         94266    96261    -     
intermediate                                                SSPG_RS15260    -         -         -          -         96257    96650    -     
intermediate                                                SSPG_RS15265    -         -         -          -         96649    97243    -     
intermediate                                                SSPG_RS15270    -         -         -          -         97239    97833    -     
intermediate                                                SSPG_RS15275    -         -         -          -         97832    98801    -     
intermediate                                                SSPG_RS15280    -         -         -          -         98797    100166   -     
intermediate                                                SSPG_RS15285    -         -         -          -         100162   100882   -     
intermediate                                                SSPG_RS15290    -         -         -          -         100851   101292   -     
intermediate                                                SSPG_RS15295    -         -         -          -         101487   102714   +     
intermediate                                                SSPG_RS15300    -         -         -          -         102827   104195   +     
intermediate                                                SSPG_RS15305    -         -         -          -         104515   105187   +     
intermediate                                                SSPG_RS15310    -         -         -          -         105526   107464   +     
intermediate                                                SSPG_RS15315    -         -         -          -         107456   108515   +     
intermediate                                                SSPG_RS15320    -         -         -          -         108680   109535   +     
intermediate                                                SSPG_RS15325    -         -         -          -         109698   110805   +     
intermediate                                                SSPG_RS15330    -         -         -          -         110828   111401   -     
intermediate                                                SSPG_RS15335    -         -         -          -         111530   112001   +     
intermediate                                                SSPG_RS15340    -         -         -          -         112211   113186   +     
intermediate                                                SSPG_RS15345    -         -         -          -         113222   114605   -     
intermediate                                                SSPG_RS15350    -         -         -          -         114854   115457   +     
intermediate                                                SSPG_RS15355    -         -         -          -         115484   116429   -     
intermediate                                                SSPG_RS15360    -         -         -          -         116415   117399   -     
intermediate                                                SSPG_RS15365    -         -         -          -         117451   118714   -     
intermediate                                                SSPG_RS15370    -         -         -          -         118973   119984   -     
streptomyces_coelicolor_EF_G                                WP_003974302.1  100       100       0          1448      3366144  3368271  -     
streptomyces_coelicolor_30s_ribosomal_protein_S7            WP_003974303.1  100       100       1.23e-112  314       3368310  3368781  -     
streptomyces_coelicolor_RpoC                                WP_003974308.1  100       100       0          2659      3372545  3376445  -     
streptomyces_coelicolor_50s_ribosomal_protein_L7/L12        WP_003974310.1  100       100       6.14e-83   237       3380617  3381001  -     
streptomyces_coelicolor_transcription_antitermination_NUSG  WP_011029791.1  100       100       0          591       3385425  3386328  -     

GG657756.1
----------
Cluster 11, score 5.4658:
Query                                                 Subject     Identity  Coverage  E-value    Bitscore  Start    End      Strand
intermediate                                          SSPG_02957  -         -         -          -         61       466      -     
intermediate                                          SSPG_02958  -         -         -          -         533      914      -     
intermediate                                          SSPG_02959  -         -         -          -         1102     1216     -     
intermediate                                          SSPG_02960  -         -         -          -         1284     1506     -     
intermediate                                          SSPG_02961  -         -         -          -         1647     2484     -     
intermediate                                          SSPG_02962  -         -         -          -         2635     3289     -     
intermediate                                          SSPG_02963  -         -         -          -         3288     4602     -     
intermediate                                          SSPG_02964  -         -         -          -         4858     5314     -     
intermediate                                          SSPG_02965  -         -         -          -         5316     5499     -     
intermediate                                          SSPG_02966  -         -         -          -         5501     6107     -     
intermediate                                          SSPG_02967  -         -         -          -         6150     6534     -     
intermediate                                          SSPG_02968  -         -         -          -         6537     7077     -     
intermediate                                          SSPG_02969  -         -         -          -         7101     7500     -     
intermediate                                          SSPG_02970  -         -         -          -         7711     7897     -     
intermediate                                          SSPG_02971  -         -         -          -         7902     8460     -     
intermediate                                          SSPG_02972  -         -         -          -         8459     8783     -     
intermediate                                          SSPG_02973  -         -         -          -         8785     9154     -     
intermediate                                          SSPG_02974  -         -         -          -         9261     9549     -     
intermediate                                          SSPG_02975  -         -         -          -         9548     9773     -     
intermediate                                          SSPG_02976  -         -         -          -         9772     10192    -     
intermediate                                          SSPG_02977  -         -         -          -         10197    11031    -     
intermediate                                          SSPG_02978  -         -         -          -         11030    11378    -     
intermediate                                          SSPG_02979  -         -         -          -         11420    11702    -     
intermediate                                          SSPG_02980  -         -         -          -         11714    12551    -     
intermediate                                          SSPG_02981  -         -         -          -         12591    13011    -     
intermediate                                          SSPG_02982  -         -         -          -         13010    13670    -     
intermediate                                          SSPG_02983  -         -         -          -         13678    14323    -     
intermediate                                          SSPG_02984  -         -         -          -         14339    14648    -     
intermediate                                          SSPG_02985  -         -         -          -         15148    15598    -     
intermediate                                          SSPG_02986  -         -         -          -         15618    19305    -     
intermediate                                          SSPG_02987  -         -         -          -         20209    20677    -     
intermediate                                          SSPG_02988  -         -         -          -         20707    21568    -     
intermediate                                          SSPG_02989  -         -         -          -         21664    22312    -     
intermediate                                          SSPG_02990  -         -         -          -         22403    23291    -     
intermediate                                          SSPG_02991  -         -         -          -         23364    23697    -     
intermediate                                          SSPG_02992  -         -         -          -         24197    24554    +     
